key	label	base_hydrate_ms	cand_hydrate_ms	hydrate_speedup	base_incr_ms	cand_incr_ms	incr_speedup
views:view_list	list: newest 50 open	1.2472505569458008	1.1552505493164062	1.0796364110658363	0.17766668319702147	0.17374500274658203	1.0225714719183001
views:view_list_creator	list + author	5.988707542419434	1.9747505187988281	3.0326400653699563	0.752801685333252	0.586242504119873	1.2841131102621681
views:view_list_count	list + comment count	4.473583221435547	2.965208053588867	1.5086911746449139	0.19901666641235352	0.1979083251953125	1.005600275864834
views:view_list_comments	list + 3 recent comments	3.5687084197998047	2.4013748168945312	1.486110537469063	0.1760124969482422	0.14136499404907227	1.2450925218950788
views:view_detail	issue detail + comments	4.149832725524902	2.3260841369628906	1.7840423996628232	0.19751083374023437	0.15060415267944335	1.3114567575080784
views:view_page	list: page 2	1.038416862487793	0.8837919235229492	1.174956270643979	0.15236583709716797	0.1560683250427246	0.9762764933592831
full:scan	scan all issues	26.18429183959961	18.38724994659424	1.4240461143266054	0.13756418228149414	0.12906000137329102	1.0658932342918994
full:filter	filter open	22.08216667175293	13.973125457763672	1.580331239313661	0.136213321685791	0.13486499786376954	1.0099975816066333
full:filter_order_limit	filter+order+limit 50	0.8187494277954102	0.7363338470458984	1.1119269215725383	0.17239582061767578	0.1579949951171875	1.0911473524196569
full:one_to_many	issue → comments[]	430.7137088775635	214.62304019927979	2.00683816834223	0.22065082550048828	0.14861583709716797	1.4847060031443515
full:many_to_one	issue → creator	115.26974964141846	44.67137432098389	2.58039407548005	0.1902775001525879	0.1780266571044922	1.0688146553294269
full:nested	issue → comments → creator	866.1614170074463	315.0629577636719	2.74916931890531	9.700034999847412	3.1907683181762696	3.0400311249773253
full:aggregate_count	issue → commentCount	551.2609996795654	289.1585416793823	1.9064316636746672	0.23884584426879882	0.21281333923339843	1.1223255324556973
